sigma_tp,diameter,epoch_mjd,ad,producer,rms,H_sigma,closeness,K2,K1,M1,two_body,full_name,M2,sigma_per,equinox,DT,diameter_sigma,saved,albedo,moid_ld,pha,neo,sigma_ad,PC,profit,spkid,sigma_w,sigma_i,per,id,A1,data_arc,A3,score,per_y,sigma_n,epoch_cal,orbit_id,sigma_a,sigma_om,A2,sigma_e,condition_code,rot_per,prov_des,G,last_obs,H,price,IR,spec_T,epoch,n_obs_used,moid,extent,spec_B,e,GM,tp_cal,pdes,class,UB,a,t_jup,om,ma,name,i,tp,prefix,BV,spec,q,w,moid_jup,n,sigma_ma,first_obs,n_del_obs_used,sigma_q,n_dop_obs_used,est_diameter
1.327e-08,939.4,58600.0,2.979646696468275,Davide Farnocchia,0.36954,,2640.0802241862843,,,,,1 Ceres,,2.3543e-08,J2000,,0.2,-6778017204000.001,0.09,620.6405326,N,N,2.7786e-11,,522924215944.27673,2000001.0,1.1463e-08,1.9267e-09,1683.145700575484,a0000001,,24437.0,,132.02401120931424,4.6082017811786,2.9918e-12,20190427.0,34.0,2.5823e-11,1.1722e-08,,1.172e-11,0.0,9.07417,,0.12,2017-03-05,3.34,8123022111651.299,,G,2458600.5,5993.0,1.59478,964.4 x 964.2 x 891.8,C,0.07600902762923671,62.873006000000004,20180430.2541287,1.0,MBA,0.426,2.769165146349478,3.309,80.30553084093981,77.37209773768207,Ceres,10.59406732590292,2458238.7541287453,,0.713,C,2.558683596230681,73.59769486239257,2.09753,0.2138852268564227,3.8719e-09,1950-04-09,405.0,5.6278e-11,0.0,
4.2568e-05,545.0,58600.0,3.411066885554264,Otto Matic,0.35911,,2641.8234972235623,,,,,2 Pallas,,3.7748e-06,J2000,,18.0,-1050220927058.8237,0.101,479.9400108,N,N,5.0909e-09,,114544028871.98692,2000002.0,9.5186e-06,3.7128e-06,1686.155999342055,a0000002,,71865.0,,132.1111748611781,4.61644353002616,4.7797e-10,20190427.0,34.0,4.1378e-09,6.4634e-06,,3.3707e-08,0.0,7.8132,,0.11,2018-02-10,4.13,1778134717223.647,,B,2458600.5,8441.0,1.23324,582x556x500,B,0.2303368122519394,13.80133411764706,20180721.3832004,2.0,MBA,0.284,2.772465922815752,3.043,173.0800618276949,59.69913098405375,Pallas,34.83623460557907,2458320.883200377,,0.635,B,2.13386496007724,310.0488584525203,1.85493,0.2135033769950547,9.1517e-06,1821-05-09,,9.3154e-08,,
3.8028e-05,246.596,58600.0,3.354966971211181,Otto Matic,0.31378,,2644.5207185757786,,,,,3 Juno,,3.3732e-06,J2000,,10.594,-198520833333.33334,0.214,402.6119318,N,N,4.7367e-09,,1.7464376415226536e-45,2000003.0,1.9082e-05,3.5292e-06,1592.787284087904,a0000003,,72161.0,,5.416666666666668e-56,4.36081391947407,4.7866e-10,20190427.0,107.0,3.7685e-09,1.7902e-05,,3.2676e-08,0.0,7.21,,0.32,2017-11-26,5.33,2.7083333333333337e-44,,S,2458600.5,7010.0,1.03454,,Sk,0.2569423149737984,1.8072708333333334,20181123.4774274,3.0,MBA,0.433,2.669149515649107,3.298,169.8527548037533,34.92501898650092,Juno,12.98891943923851,2458445.9774273937,,0.824,Sk,1.983332060087033,248.1386297217077,2.18657,0.2260188812382131,8.6339e-06,1820-05-02,,8.7261e-08,,
4.1741e-06,525.4,58600.0,2.570926338111508,Davide Farnocchia,0.39592,,2649.7975580265224,,,,,4 Vesta,,1.2968e-06,J2000,,0.2,-1939090416666.6665,0.4228,443.4514316,N,N,1.6769e-09,,1.7092704138233867e-44,2000004.0,1.805e-07,2.2072e-07,1325.432764736216,a0000004,,24288.0,,5.2908333333333334e-55,3.62883713822373,2.6574e-10,20190427.0,34.0,1.5403e-09,3.9411e-07,,2.3717e-10,0.0,5.34212766,,0.32,2017-03-23,3.2,2.6454166666666668e-43,,V,2458600.5,9325.0,1.13948,572.6 x 557.2 x 446.4,V,0.08872145950956178,17.652865416666664,20180509.0595802,4.0,MBA,0.492,2.361417895877277,3.535,103.810804427096,95.86193620017683,Vesta,7.141770811873426,2458247.5595801924,,0.782,V,2.151909453643047,150.7285412870121,2.46988,0.2716094015313151,1.2275e-06,1950-09-23,2977.0,1.9617e-09,0.0,
3.8278e-05,106.699,58600.0,3.066173786932414,Otto Matic,0.49752,,2645.555146834909,,,,,5 Astraea,,4.0163e-06,J2000,,3.14,-21147050000.0,0.274,426.4875113,N,N,5.4419e-09,,1.8610868086289368e-46,2000005.0,3.066e-05,2.8131e-06,1508.60045807858,a0000005,,63097.0,,5.770000000000001e-57,4.13032295161829,6.353e-10,20190427.0,107.0,4.5689e-09,2.973e-05,,2.4345e-08,0.0,16.806,,,2018-09-16,6.85,2.8850000000000007e-45,,S,2458600.5,2695.0,1.09589,,S,0.191094522814835,0.19251605000000002,20200317.3284682,5.0,MBA,0.411,2.574248918285955,3.396,141.5765957220505,282.3662912620402,Astraea,5.366988177936237,2458925.8284682347,,0.826,S,2.082324049639495,358.6876128146665,1.9604,0.2386317716345598,9.054e-06,1845-12-15,,6.2247e-08,,
2.9502e-05,185.18,58600.0,2.917484701566579,Otto Matic,0.39825,,2649.328266764113,,,,,6 Hebe,,2.5935e-06,J2000,,2.9,-103792800000.00002,0.2679,379.03795905,N,N,3.6568e-09,,9.147512698112302e-46,2000006.0,1.3726e-05,2.2906e-06,1379.459705568168,a0000006,,61770.0,,2.8320000000000007e-56,3.77675484070683,4.9065e-10,20190427.0,85.0,3.0397e-09,1.1797e-05,,2.0567e-08,0.0,7.2745,,0.24,2017-10-19,5.71,1.4160000000000004e-44,,S,2458600.5,5986.0,0.973965,,S,0.2030071057382805,0.9448968000000001,20180531.7040009,6.0,MBA,0.399,2.425159990868159,3.439,138.6402040860603,86.19792168692148,Hebe,14.73790068157333,2458270.2040009145,,0.822,S,1.932835280169739,239.8074896057582,2.6358,0.2609717402740113,7.752e-06,1848-09-05,,5.0172e-08,,
2.5964e-05,199.83,58600.0,2.93683679854833,Otto Matic,0.36591,,2650.7674106458044,,,,,7 Iris,,1.8174e-06,J2000,,10.0,-102148785714.28572,0.2766,329.276737,N,N,2.6444e-09,,9.007512029904217e-46,2000007.0,2.7269e-05,2.613e-06,1345.619195824584,a0000007,,61942.0,,2.787142857142858e-56,3.6841045744684,3.6134e-10,20190427.0,108.0,2.1478e-09,2.6599e-05,,2.0047e-08,0.0,7.139,,,2018-03-27,5.51,1.393571428571429e-44,,S,2458600.5,5110.0,0.8461,,S,0.2312057882091302,0.9299302142857144,20171118.1350452,7.0,MBA,0.484,2.38533381395173,3.493,259.5632326380281,140.4196553603943,Iris,5.523651438133126,2458075.635045211,,0.855,S,1.833830829355129,145.265103459468,2.47021,0.2675348279194212,7.0694e-06,1848-08-23,1.0,4.7778e-08,0.0,
4.1361e-05,147.491,58600.0,2.546338634461572,Otto Matic,0.5264,,2654.741330194822,,,,,8 Flora,,1.9436e-06,J2000,,1.025,-56212955555.555565,0.226,340.20307392,N,N,2.7649e-09,,0.0,2000008.0,2.7387e-05,3.3461e-06,1193.313716470842,a0000008,,62300.0,,0.0,3.26711489793523,4.9135e-10,20190427.0,116.0,2.3907e-09,2.5032e-05,,2.4473e-08,0.0,12.865,,0.28,2018-05-23,6.49,0.0,,S,2458600.5,2670.0,0.874176,,,0.1564992504040566,0.5117449555555557,20201025.3236232,8.0,MBA,0.489,2.201764189273737,3.641,110.8893299358875,194.8828965630362,Flora,5.886954138633143,2459147.8236232093,,0.885,?,1.857189744085902,285.2874607293782,2.86902,0.3016809368995437,1.2334e-05,1847-10-27,,5.356e-08,,
4.0274e-05,190.0,58600.0,2.67934242213977,Otto Matic,0.42172,,2649.4181511047195,,,,,9 Metis,,2.9619e-06,J2000,,,-63926762500.00001,0.118,430.7761647,N,N,3.931e-09,,0.0,2000009.0,2.6887e-05,2.0461e-06,1345.875359602654,a0000009,,61768.0,,0.0,3.68480591266983,5.8866e-10,20190427.0,113.0,3.5001e-09,2.4973e-05,,1.8665e-08,0.0,5.079,,0.17,2018-09-11,6.28,0.0,,S,2458600.5,2632.0,1.10691,,,0.1231142653696762,0.5819690125,20200302.8163854,9.0,MBA,0.496,2.385636532946946,3.519,68.90858238730618,276.8616187640486,Metis,5.576815381196452,2458911.3163853963,,0.858,?,2.091930643754122,6.417370185027647,2.55446,0.2674839073554952,1.0712e-05,1849-07-31,,4.4744e-08,,
6.1608e-05,407.12,58600.0,3.494838741095881,Otto Matic,0.53109,,2633.2819699462457,,,,,10 Hygiea,,6.7616e-06,J2000,,6.8,-625982237000.0,0.0717,692.0960363,N,N,7.7459e-09,,48170187677.37012,2000010.0,3.0405e-05,2.1883e-06,2033.818283444788,a0000010,,61872.0,,131.6840984973123,5.56829098821297,5.8847e-10,20190427.0,90.0,6.9628e-09,2.8718e-05,,1.6377e-08,0.0,27.63,,,2018-10-19,5.43,750199859282.0249,,C,2458600.5,3341.0,1.77839,,C,0.1124606578329963,5.806622166666667,20161218.2324108,10.0,MBA,0.351,3.141539178476305,3.197,283.2021663567859,152.1848508422612,Hygiea,3.831560260844386,2457740.732410816,,0.696,C,2.788239615856729,312.315207696501,1.53558,0.1770069641572149,1.1128e-05,1849-05-26,,5.1029e-08,,
